iter	Passed	Remaining
0	4	4941
1	10	5105
2	15	5198
3	21	5291
4	26	5264
5	31	5204
6	36	5197
7	41	5186
8	46	5145
9	52	5199
10	57	5195
11	63	5199
12	68	5191
13	73	5187
14	78	5175
15	83	5157
16	88	5120
17	93	5075
18	97	5051
19	101	4995
20	106	4967
21	111	4964
22	116	4945
23	120	4903
24	125	4880
25	129	4846
26	133	4825
27	138	4794
28	142	4773
29	146	4741
30	151	4723
31	155	4698
32	159	4679
33	163	4658
34	168	4633
35	172	4608
36	176	4593
37	180	4581
38	185	4562
39	188	4535
40	193	4526
41	197	4513
42	203	4524
43	207	4506
44	211	4490
45	215	4470
46	219	4447
47	223	4434
48	227	4419
49	231	4398
50	236	4408
51	240	4386
52	245	4385
53	249	4373
54	253	4361
55	257	4346
56	262	4346
57	266	4328
58	271	4322
59	275	4313
60	279	4298
61	282	4276
62	287	4273
63	291	4260
64	295	4250
65	299	4239
66	303	4232
67	307	4213
68	311	4198
69	315	4188
70	319	4180
71	323	4168
72	327	4160
73	331	4146
74	335	4136
75	339	4123
76	343	4111
77	346	4098
78	350	4083
79	354	4074
80	358	4065
81	361	4049
82	365	4039
83	369	4031
84	374	4027
85	378	4019
86	381	4008
87	385	3999
88	389	3988
89	393	3975
90	397	3969
91	401	3959
92	404	3947
93	408	3937
94	412	3928
95	416	3918
96	419	3908
97	423	3899
98	427	3890
99	430	3877
100	434	3867
101	437	3854
102	441	3848
103	445	3837
104	448	3826
105	452	3817
106	456	3811
107	460	3802
108	464	3794
109	467	3786
110	471	3777
111	475	3766
112	478	3756
113	482	3748
114	485	3738
115	489	3731
116	493	3722
117	497	3717
118	501	3710
119	504	3699
120	508	3694
121	513	3693
122	517	3687
123	521	3681
124	525	3677
125	528	3668
126	532	3662
127	536	3655
128	540	3650
129	544	3644
130	549	3641
131	552	3635
132	556	3628
133	560	3623
134	564	3616
135	568	3611
136	572	3603
137	576	3598
138	579	3591
139	583	3583
140	586	3574
141	590	3569
142	594	3563
143	598	3557
144	602	3552
145	606	3548
146	610	3542
147	614	3538
148	618	3532
149	622	3528
150	626	3525
151	630	3517
152	634	3513
153	638	3506
154	642	3501
155	646	3495
156	649	3488
157	652	3479
158	657	3475
159	661	3473
160	665	3467
161	669	3461
162	673	3459
163	677	3453
164	681	3447
165	685	3442
166	689	3437
167	693	3432
168	696	3426
169	700	3420
170	704	3414
171	707	3407
172	711	3401
173	715	3395
174	719	3389
175	722	3382
176	726	3379
177	731	3376
178	734	3370
179	739	3366
180	742	3361
181	746	3354
182	750	3351
183	754	3348
184	758	3342
185	762	3337
186	766	3331
187	770	3327
188	774	3323
189	778	3320
190	782	3315
191	786	3310
192	790	3307
193	795	3303
194	798	3296
195	802	3292
196	806	3288
197	811	3285
198	814	3279
199	819	3276
200	823	3273
201	827	3269
202	831	3265
203	836	3262
204	839	3257
205	843	3252
206	847	3247
207	851	3242
208	855	3237
209	859	3234
210	863	3229
211	867	3224
212	871	3221
213	875	3217
214	879	3211
215	883	3206
216	887	3201
217	891	3196
218	895	3193
219	899	3188
220	902	3182
221	906	3177
